"Shifr","SortOrder","kod_ob","kod","nom","Prizn","Ima","Ed","Tzn","Sz_hour","Sz_hour_m","Shifr_Gt","Np_Gt","Zn_Gt","Shifr_Gt1","Np_Gt1","Zn_Gt1","Shifr_Gt2","Np_Gt2","Zn_Gt2","Shifr_P","Np_P","Zn_P","Shifr_T","Np_T","Zn_T","Shifr_T1","Np_T1","Zn_T1","Density","P_nom","a","n","P_M","Sz_N1_1V","M_N1_1V","Sz_N1_2V","M_N1_2V","Sz_N1_3V","M_N1_3V","P_1","Sz_N2_1V","M_N2_1V","Sz_N2_2V","M_N2_2V","Sz_N2_3V","M_N2_3V","P_2","Sz_N3_1V","M_N3_1V","Sz_N3_2V","M_N3_2V","Sz_N3_3V","M_N3_3V","P_3","Sz_N4_1V","M_N4_1V","Sz_N4_2V","M_N4_2V","Sz_N4_3V","M_N4_3V","P_4","Sz_N5_1V","M_N5_1V","Sz_N5_2V","M_N5_2V","Sz_N5_3V","M_N5_3V","P_5","Sz_N6_1V","M_N6_1V","Sz_N6_2V","M_N6_2V","Sz_N6_3V","M_N6_3V","P_6","Sz_N7_1V","M_N7_1V","Sz_N7_2V","M_N7_2V","Sz_N7_3V","M_N7_3V","P_7","Sz_N8_1V","M_N8_1V","Sz_N8_2V","M_N8_2V","Sz_N8_3V","M_N8_3V","P_8","Sz_N9_1V","M_N9_1V","Sz_N9_2V","M_N9_2V","Sz_N9_3V","M_N9_3V","P_9","Sz_N10_1V","M_N10_1V","Sz_N10_2V","M_N10_2V","Sz_N10_3V","M_N10_3V","P_10","Sz_N11_1V","M_N11_1V","Sz_N11_2V","M_N11_2V","Sz_N11_3V","M_N11_3V","P_11","Sz_N12_1V","M_N12_1V","Sz_N12_2V","M_N12_2V","Sz_N12_3V","M_N12_3V","P_12","Sz_N13_1V","M_N13_1V","Sz_N13_2V","M_N13_2V","Sz_N13_3V","M_N13_3V","P_13","Sz_N14_1V","M_N14_1V","Sz_N14_2V","M_N14_2V","Sz_N14_3V","M_N14_3V","P_14","Sz_N15_1V","M_N15_1V","Sz_N15_2V","M_N15_2V","Sz_N15_3V","M_N15_3V","P_15","Sz_N16_1V","M_N16_1V","Sz_N16_2V","M_N16_2V","Sz_N16_3V","M_N16_3V","P_16","Sz_N17_1V","M_N17_1V","Sz_N17_2V","M_N17_2V","Sz_N17_3V","M_N17_3V","P_17","Sz_N18_1V","M_N18_1V","Sz_N18_2V","M_N18_2V","Sz_N18_3V","M_N18_3V","P_18","Sz_N19_1V","M_N19_1V","Sz_N19_2V","M_N19_2V","Sz_N19_3V","M_N19_3V","P_19","Sz_N20_1V","M_N20_1V","Sz_N20_2V","M_N20_2V","Sz_N20_3V","M_N20_3V","P_20","Sz_N21_1V","M_N21_1V","Sz_N21_2V","M_N21_2V","Sz_N21_3V","M_N21_3V","P_21","Sz_N22_1V","M_N22_1V","Sz_N22_2V","M_N22_2V","Sz_N22_3V","M_N22_3V","P_22","Sz_N23_1V","M_N23_1V","Sz_N23_2V","M_N23_2V","Sz_N23_3V","M_N23_3V","P_23","Sz_N24_1V","M_N24_1V","Sz_N24_2V","M_N24_2V","Sz_N24_3V","M_N24_3V","P_24","Sz_N25_1V","M_N25_1V","Sz_N25_2V","M_N25_2V","Sz_N25_3V","M_N25_3V","P_25","Sz_N26_1V","M_N26_1V","Sz_N26_2V","M_N26_2V","Sz_N26_3V","M_N26_3V","P_26","Sz_N27_1V","M_N27_1V","Sz_N27_2V","M_N27_2V","Sz_N27_3V","M_N27_3V","P_27","Sz_N28_1V","M_N28_1V","Sz_N28_2V","M_N28_2V","Sz_N28_3V","M_N28_3V","P_28","Sz_N29_1V","M_N29_1V","Sz_N29_2V","M_N29_2V","Sz_N29_3V","M_N29_3V","P_29","Sz_N30_1V","M_N30_1V","Sz_N30_2V","M_N30_2V","Sz_N30_3V","M_N30_3V","P_30","Sz_N31_1V","M_N31_1V","Sz_N31_2V","M_N31_2V","Sz_N31_3V","M_N31_3V","P_31"
"FQIR1902",2000,0,0,"","NEFT","Вода оборотная I системы","1",25.505777,25.45015798296247,0,"FQIR1902",317,25.505777,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,205.73604,0,205.32985,0,205.06149,0,0,205.19632,0,205.27367,0,205.12451,0,0,205.06082,0,204.94649,0,204.76529,0,0,204.78133,0,204.79826,0,204.90808,0,0,205.0699,0,205.09229,0,204.8922,0,0,204.72285,0,204.3902,0,204.22328,0,0,204.27818,0,204.04094,0,203.94841,0,0,204.01439,0,204.02344,0,204.27536,0,0,204.88289,0,204.67664,0,204.58362,0,0,204.56445,0,204.65666,0,204.83777,0,0,204.59627,0,204.6412,0,204.35835,0,0,204.37755,0,204.24538,0,203.76207,0,0,203.98514,0,204.19237,0,203.57236,0,0,203.42189,0,25.436769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FQIR1901",2100,0,0,"","NEFT","Вода оборотная II системы","1",126.81487,126.89696197509765,0,"FQIRA1901",183,126.81487,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,1082.5673,0,1082.0629,0,1080.728,0,0,1081.4639,0,1083.3274,0,1083.9786,0,0,1083.5509,0,1082.6271,0,1082.563,0,0,1082.3195,0,1081.906,0,1080.5012,0,0,1081.507,0,1080.3494,0,1079.6345,0,0,1082.2296,0,1082.4641,0,1082.1172,0,0,1083.9392,0,1080.6859,0,1081.084,0,0,1082.5819,0,1089.4419,0,1089.3738,0,0,1089.2998,0,1088.3154,0,1089.9147,0,0,1090.0426,0,1090.2644,0,1090.7847,0,0,1092.2487,0,1093.0521,0,1099.4686,0,0,1098.2916,0,1094.6799,0,1096.0214,0,0,1095.2262,0,1070.9865,0,1020.9738,0,0,1019.7902,0,127.22847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIC3002",2200,0,0,"","NEFT","Рас-д сбр-го газа КЦА","4",6153.8462,5992.7786202566958,0,"FIC3002",14,6153.8462,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,49363.066,0,48799.676,0,47374.563,0,0,47389.578,0,47309.324,0,47580.406,0,0,47748.793,0,47066.75,0,46921.906,0,0,46730.914,0,46763.203,0,46919.898,0,0,47008.172,0,46941.434,0,46472.313,0,0,45968.664,0,46084.531,0,46266.457,0,0,46138.465,0,47229.223,0,47119.742,0,0,46941.117,0,47250.023,0,46933.184,0,0,46967.34,0,48525.805,0,58700.094,0,0,59144.691,0,58386.555,0,57096.094,0,0,55989.734,0,56237.078,0,56282.418,0,0,53252.992,0,47505.094,0,47411.152,0,0,47450.648,0,47494.141,0,47542.531,0,0,47716.449,0,5993.8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1710",100,0,0,"","PAR","Выработка пара от D-101","5",-99999,0,0,"FI1710",355,-99999,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.662336,0,7.640183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1523156,0,0.36315763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59115809,0,0,0,0,8.7235421E-2,0,1.1027404,0,0,0,0,0.15174237,0,0.78485721,0,0,0,0,0.27359056,0,0.58811599,0,0,0,0,6.2240347E-2,0,0.83051443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIC2710",130,0,0,"","PAR","Выработка пара от D-201","5",24.724033,-82.022570382550114,0,"FIC2710",352,-99999,"FC2006",357,13577.493,"FI1716",546,9.130415,"FIC2712",353,2.0161245,"",0,0,"",0,0,0,0,0,4195,0,192.31177,0,190.68257,0,144.80148,0,0,0,0,0,0,49.374443,0,0,196.72784,0,194.60307,0,191.74857,0,0,192.05594,0,190.49759,0,190.41284,0,0,190.96217,0,192.07382,0,188.73671,0,0,188.03722,0,187.92006,0,189.29492,0,0,188.93486,0,143.8756,0,97.735924,0,0,191.40007,0,191.90881,0,191.64519,0,0,191.88965,0,196.76431,0,223.11958,0,0,224.3369,0,221.4416,0,219.37755,0,0,220.67726,0,223.66252,0,229.84866,0,0,219.67114,0,196.20601,0,195.19727,0,0,196.12888,0,48.707565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC1006",300,0,0,"","PAR","Расход пара-40 в узел смешения С-100","10",-3.7978587,0,0,"FC1006",356,-3.7978587,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC2006",400,0,0,"","PAR","Расход пара-40 в узел смешения С-200","10",13577.493,13538.326450892855,0,"FC2006",357,13577.493,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,108370.94,0,107083.01,0,91251.164,0,0,78324.766,0,103959.3,0,102892.91,0,0,103252.88,0,101853.41,0,101391.77,0,0,102303.27,0,102228.88,0,102307.11,0,0,103520.71,0,103749.45,0,101881.23,0,0,101250.18,0,100807.04,0,100473.6,0,0,99336.438,0,101358.35,0,100485.65,0,0,100209.3,0,100852.38,0,100196.49,0,0,100718.07,0,105605.13,0,131112.75,0,0,131026.63,0,129426.67,0,128242.96,0,0,130067.16,0,129037.09,0,129192.07,0,0,122312.28,0,106433.05,0,105523.54,0,0,106137,0,39545.418,0,0,0,0,0,0,13562.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1702",500,0,0,"","NEFT","Расход пара-40 с установки","5",-0.92524266,0,0,"FI1702",358,-0.92524266,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0.24268156,0,3.052258,0,2.6993458,0,0,0,0,1.9565834,0,2.0321264,0,0,0,0,2.2158628,0,2.3460453,0,0,0,0,2.5717065,0,2.7887824,0,0,0,0,0,0,1.1722631,0,0,0,0,2.3510525,0,2.4642489,0,0,0,0,1.3555142,0,1.6496708,0,0,0,0,1.9362047,0,2.4783115,0,0,0,0,2.3794954,0,3.1187413,0,0,0,0,3.2408934,0,3.8492866,0,0,0,0,3.6924465,0,3.2010024,0,0,0,0,3.6798558,0,4.167356,0,0,0.24268156,0,2.4030774,0,2.4540877,0,0,0.31171045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1701",600,0,0,"","NEFT","Расход пара-3 на установку","5",0.34731185,0.34978897784437452,0,"FI1701",288,0.34731185,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,2.7133267,0,3.1386864,0,3.4803591,0,0,2.7411919,0,3.3897808,0,3.3701811,0,0,2.4441636,0,3.0485971,0,3.2919891,0,0,2.8304622,0,3.2137768,0,3.5153294,0,0,3.0206389,0,2.7600131,0,3.2936151,0,0,2.7978406,0,3.5094581,0,3.483566,0,0,3.2473528,0,3.6708639,0,3.7092686,0,0,3.3151572,0,3.7514303,0,4.1641951,0,0,4.0151305,0,3.5330741,0,3.8980744,0,0,3.5581081,0,3.8338516,0,3.7767501,0,0,3.4889429,0,3.9022872,0,3.8183019,0,0,3.3450601,0,3.4760714,0,3.5012944,0,0,3.0563939,0,3.6717365,0,3.3878706,0,0,3.2096481,0,0.34104162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1704",700,0,0,"","NEFT","Расход ХОВ на установку","1",28.539566,28.548379707336423,0,"FI1704",289,28.539566,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,198.97556,0,197.82898,0,191.73306,0,0,193.09842,0,191.7717,0,193.2518,0,0,197.09532,0,199.09142,0,199.38538,0,0,200.59947,0,201.75153,0,203.26286,0,0,201.73666,0,205.99274,0,203.59987,0,0,202.209,0,202.15742,0,205.10985,0,0,204.93457,0,209.39761,0,209.83723,0,0,208.62404,0,211.21686,0,205.38304,0,0,205.54616,0,214.8512,0,265.04642,0,0,265.55597,0,262.40121,0,258.67578,0,0,260.30545,0,264.27905,0,265.16425,0,0,251.86987,0,221.40608,0,220.98492,0,0,221.05272,0,220.04492,0,218.52592,0,0,220.05141,0,28.441217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
