"Shifr","SortOrder","kod_ob","kod","nom","Prizn","Ima","Ed","Tzn","Sz_hour","Sz_hour_m","Shifr_Gt","Np_Gt","Zn_Gt","Shifr_Gt1","Np_Gt1","Zn_Gt1","Shifr_Gt2","Np_Gt2","Zn_Gt2","Shifr_P","Np_P","Zn_P","Shifr_T","Np_T","Zn_T","Shifr_T1","Np_T1","Zn_T1","Density","P_nom","a","n","P_M","Sz_N1_1V","M_N1_1V","Sz_N1_2V","M_N1_2V","Sz_N1_3V","M_N1_3V","P_1","Sz_N2_1V","M_N2_1V","Sz_N2_2V","M_N2_2V","Sz_N2_3V","M_N2_3V","P_2","Sz_N3_1V","M_N3_1V","Sz_N3_2V","M_N3_2V","Sz_N3_3V","M_N3_3V","P_3","Sz_N4_1V","M_N4_1V","Sz_N4_2V","M_N4_2V","Sz_N4_3V","M_N4_3V","P_4","Sz_N5_1V","M_N5_1V","Sz_N5_2V","M_N5_2V","Sz_N5_3V","M_N5_3V","P_5","Sz_N6_1V","M_N6_1V","Sz_N6_2V","M_N6_2V","Sz_N6_3V","M_N6_3V","P_6","Sz_N7_1V","M_N7_1V","Sz_N7_2V","M_N7_2V","Sz_N7_3V","M_N7_3V","P_7","Sz_N8_1V","M_N8_1V","Sz_N8_2V","M_N8_2V","Sz_N8_3V","M_N8_3V","P_8","Sz_N9_1V","M_N9_1V","Sz_N9_2V","M_N9_2V","Sz_N9_3V","M_N9_3V","P_9","Sz_N10_1V","M_N10_1V","Sz_N10_2V","M_N10_2V","Sz_N10_3V","M_N10_3V","P_10","Sz_N11_1V","M_N11_1V","Sz_N11_2V","M_N11_2V","Sz_N11_3V","M_N11_3V","P_11","Sz_N12_1V","M_N12_1V","Sz_N12_2V","M_N12_2V","Sz_N12_3V","M_N12_3V","P_12","Sz_N13_1V","M_N13_1V","Sz_N13_2V","M_N13_2V","Sz_N13_3V","M_N13_3V","P_13","Sz_N14_1V","M_N14_1V","Sz_N14_2V","M_N14_2V","Sz_N14_3V","M_N14_3V","P_14","Sz_N15_1V","M_N15_1V","Sz_N15_2V","M_N15_2V","Sz_N15_3V","M_N15_3V","P_15","Sz_N16_1V","M_N16_1V","Sz_N16_2V","M_N16_2V","Sz_N16_3V","M_N16_3V","P_16","Sz_N17_1V","M_N17_1V","Sz_N17_2V","M_N17_2V","Sz_N17_3V","M_N17_3V","P_17","Sz_N18_1V","M_N18_1V","Sz_N18_2V","M_N18_2V","Sz_N18_3V","M_N18_3V","P_18","Sz_N19_1V","M_N19_1V","Sz_N19_2V","M_N19_2V","Sz_N19_3V","M_N19_3V","P_19","Sz_N20_1V","M_N20_1V","Sz_N20_2V","M_N20_2V","Sz_N20_3V","M_N20_3V","P_20","Sz_N21_1V","M_N21_1V","Sz_N21_2V","M_N21_2V","Sz_N21_3V","M_N21_3V","P_21","Sz_N22_1V","M_N22_1V","Sz_N22_2V","M_N22_2V","Sz_N22_3V","M_N22_3V","P_22","Sz_N23_1V","M_N23_1V","Sz_N23_2V","M_N23_2V","Sz_N23_3V","M_N23_3V","P_23","Sz_N24_1V","M_N24_1V","Sz_N24_2V","M_N24_2V","Sz_N24_3V","M_N24_3V","P_24","Sz_N25_1V","M_N25_1V","Sz_N25_2V","M_N25_2V","Sz_N25_3V","M_N25_3V","P_25","Sz_N26_1V","M_N26_1V","Sz_N26_2V","M_N26_2V","Sz_N26_3V","M_N26_3V","P_26","Sz_N27_1V","M_N27_1V","Sz_N27_2V","M_N27_2V","Sz_N27_3V","M_N27_3V","P_27","Sz_N28_1V","M_N28_1V","Sz_N28_2V","M_N28_2V","Sz_N28_3V","M_N28_3V","P_28","Sz_N29_1V","M_N29_1V","Sz_N29_2V","M_N29_2V","Sz_N29_3V","M_N29_3V","P_29","Sz_N30_1V","M_N30_1V","Sz_N30_2V","M_N30_2V","Sz_N30_3V","M_N30_3V","P_30","Sz_N31_1V","M_N31_1V","Sz_N31_2V","M_N31_2V","Sz_N31_3V","M_N31_3V","P_31"
"FI1703",800,0,0,"","NEFT","Расход конденсата пара-3 с установки","1",1.2364134,1.220252630540303,0,"FI1703",290,1.2364134,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,9.6469679,0,9.8817978,0,9.6733484,0,0,9.9131975,0,9.7939768,0,9.7702417,0,0,9.8921919,0,9.9315567,0,9.9406881,0,0,9.7708302,0,9.6905279,0,9.7010441,0,0,9.7987976,0,9.8305063,0,9.8511887,0,0,9.6804972,0,9.7663479,0,9.9337988,0,0,9.7209988,0,9.8941631,0,9.7904634,0,0,9.7289,0,9.8849277,0,9.8539133,0,0,9.8780403,0,10.083283,0,10.076268,0,0,9.833003,0,9.8813591,0,9.9264669,0,0,9.8777409,0,9.9068937,0,9.8968925,0,0,9.9164705,0,10.058762,0,9.7766476,0,0,10.162373,0,9.9148741,0,10.105321,0,0,9.797307,0,1.259792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1009",900,0,0,"","NEFT","Расход тех. конденсата С-100 (D-103)","1",-99999,0,0,"FI1009",292,-99999,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI2009",1000,0,0,"","NEFT","Расход тех. конденсата С-200 (D-203)","1",8.4477892,8.6325757844107489,0,"FI2009",293,8.4477892,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,67.779846,0,67.492752,0,65.466949,0,0,65.44606,0,65.055748,0,64.599571,0,0,64.233482,0,62.586967,0,62.407757,0,0,64.372528,0,64.951485,0,65.083961,0,0,65.830383,0,66.073814,0,64.285034,0,0,63.480339,0,63.040596,0,62.608868,0,0,61.748016,0,63.51762,0,63.036636,0,0,62.514256,0,62.976707,0,62.589432,0,0,63.109165,0,66.884216,0,85.073296,0,0,84.83297,0,82.992668,0,81.499176,0,0,84.373672,0,82.596214,0,82.64016,0,0,78.316963,0,67.131256,0,66.709961,0,0,67.45797,0,66.871132,0,66.391762,0,0,68.695366,0,8.6948233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1017",1100,0,0,"","NEFT","Расход топливного газа на установку","10",1431.4753,1494.8258928571429,0,"FI1017",291,1431.4753,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,11331.233,0,11373.526,0,10300.67,0,0,10395.474,0,10222.618,0,10056.01,0,0,10775.465,0,11207.538,0,10905.812,0,0,11117.896,0,11211.779,0,11194.628,0,0,11267.808,0,11233.602,0,11111.773,0,0,11229.716,0,11004.077,0,10895.883,0,0,10935.552,0,11406.878,0,10991.716,0,0,11052.769,0,11069.564,0,10739.685,0,0,9411.6221,0,9418.8789,0,11667.007,0,0,11855.233,0,11934.351,0,12112.844,0,0,12838.112,0,13166.697,0,12818.931,0,0,12266.804,0,11109.4,0,10881.22,0,0,11256.315,0,11630.274,0,11017.199,0,0,11209.941,0,1486.8596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1018",1200,0,0,"","NEFT","Расход топ. газа к форс-м печи Н-101","1",2136.5488,2120.9412074497777,0,"FI1018",294,2136.5488,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,0,0,0,0,0,0,0,1671.8445,0,1076.5503,0,0,0,0,0,0,2634.7598,0,0,0,0,0,0,0,0,0,0,0,7531.3755,0,17529.344,0,1179.1638,0,0,1510.4283,0,984.74762,0,0,0,0,5778.146,0,730.32721,0,0,0,0,5402.918,0,0,0,0,0,0,1648.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7719.9648,0,2070.1282,0,0,0,0,5344.6997,0,1785.2025,0,0,0,0,3885.9133,0,2057.4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI2018",1300,0,0,"","NEFT","Расход топ. газа к форс-м печи Н-201","1",2049.8286,2011.9355207170756,0,"FI2018",295,2049.8286,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,14038.963,0,14149.009,0,14135.437,0,0,14245.729,0,13472.157,0,14595.408,0,0,15479.017,0,14058.954,0,13805.852,0,0,14381.73,0,13864.121,0,14024.503,0,0,15367.493,0,15845.507,0,14225.358,0,0,16210.159,0,14011.799,0,13792.052,0,0,14276.438,0,13254.229,0,12762.98,0,0,13617.817,0,12831.501,0,13576.624,0,0,16259.864,0,15853.111,0,17112.469,0,0,16240.921,0,15147.542,0,14918.552,0,0,16244.143,0,15688.222,0,16295.737,0,0,15760.005,0,14002.883,0,14219.627,0,0,15222.458,0,14201.962,0,13831.422,0,0,15393.703,0,1994.3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1020",1400,0,0,"","NEFT","Рас-д сбр-го газа КЦА к форс-м печи Н-101","1",-287.90527,0,0,"FI1020",296,-287.90527,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,254.64963,0,0,0,0,0,0,584.10461,0,38.693771,0,0,0,0,346.14148,0,0,0,0,0,0,228.11949,0,0,0,0,0,0,0,0,0,0,0,0,0,539.60907,0,0,0,0,0,0,240.7205,0,0,0,0,0,0,1033.2415,0,370.93073,0,0,0,0,1263.8805,0,880.40405,0,0,0,0,1613.9247,0,790.26581,0,0,0,0,1979.6327,0,1277.8302,0,0,209.40178,0,1904.6752,0,1153.8676,0,0,83.235703,0,1527.1978,0,1094.5887,0,0,38.693771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI2020",1600,0,0,"","R1","Рас-д сбр-го газа КЦА к форс-м печи Н-201","1",3699.9849,3584.4647565569194,0,"FI2020",297,3699.9849,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,29619.307,0,29560.967,0,28603.059,0,0,28439.23,0,28706.965,0,28720.033,0,0,28577.391,0,28430.031,0,28280.123,0,0,28109.357,0,28356.35,0,28374.285,0,0,28232.242,0,28329.754,0,28075.977,0,0,27613.012,0,28023.01,0,28065.957,0,0,27730.814,0,28628.461,0,28663.813,0,0,28206.59,0,28814.344,0,28579.496,0,0,28308.559,0,29614.232,0,35802.617,0,0,35644.137,0,35623.148,0,34801.289,0,0,33827.402,0,34385.359,0,34275.785,0,0,32154.732,0,28998.533,0,28912.236,0,0,28639.059,0,28906.211,0,28906.217,0,0,28741.992,0,3610.3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1014",1700,0,0,"","NEFT","Азот В.Д. на установку","1",0,0,0,"FI1014",298,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69985563,0,0,0,0,0,0,0,0,0,0,0,41.94828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1015",1800,0,0,"","NEFT","Азот Н.Д. на установку","1",14.90965,16.450287927810731,0,"FI1015",299,14.90965,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,0,0,0,0,0.51964003,0,0,0,0,0,0,4.3887142E-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4394321,0,0,10.106361,0,931.41272,0,0,0,0,0,0,3.8841746,0,413.07327,0,0,71.736298,0,0.6435827,0,40.345474,0,0,102.3552,0,8.8045745E-5,0,0,0,0,0,0,2.8657548E-2,0,51.847111,0,0,3.7379532,0,3.404258E-6,0,6.6200886,0,0,29.86651,0,0.91621017,0,1045.0002,0,0,1522.7837,0,144.15477,0,292.97513,0,0,558.73639,0,216.75517,0,115.19515,0,0,152.75594,0,20.683548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1016",1900,0,0,"","NEFT","Воздух КИП на УПВ","1",5.0469074,5.126895747865948,0,"FI1016",300,5.0469074,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,37.832127,0,35.350903,0,39.795151,0,0,35.640987,0,34.889252,0,38.754967,0,0,36.657623,0,36.111885,0,37.955921,0,0,36.254059,0,36.708504,0,38.294815,0,0,35.47139,0,35.442505,0,39.232201,0,0,36.699856,0,31.346506,0,40.115452,0,0,37.205601,0,33.914528,0,39.156738,0,0,37.301838,0,35.599163,0,36.42815,0,0,37.598194,0,31.68606,0,40.792084,0,0,37.515934,0,33.51545,0,36.885014,0,0,36.217575,0,35.295563,0,38.464603,0,0,36.828972,0,35.477669,0,39.783554,0,0,36.404331,0,31.417387,0,38.479992,0,0,37.960098,0,5.1289716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FALL1026",2300,0,0,"","NEFT","Топ-ый газ на продувку факел. кол.","4",0,0,0,"FALL1026",622,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5.5555557E-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1173184E-2,0,0.73333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIR1712",2400,0,0,"","NEFT","Расход СТФ на установку","1",-1.4228652,0,0,"FIR1712",334,-1.4228652,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0646565,0,0,0,0,0,0,3.9696529,0,1.0600396,0,0,0,0,1.3175234,0,0,0,0,1.6379604,0,0.33360934,0,0,0,0,0,0,1.5935926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI1716",550,0,0,"","PAR","Расход пара-10 с установки","5",9.130415,9.2550900731767953,0,"FI1716",546,9.130415,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,0,0,0,70,0,73.39547,0,73.137032,0,73.677643,0,0,73.252007,0,75.674339,0,78.064255,0,0,83.415352,0,82.60817,0,80.319412,0,0,79.623947,0,77.736382,0,77.690346,0,0,77.247765,0,78.019089,0,76.757927,0,0,76.906158,0,77.118553,0,78.720825,0,0,79.373886,0,80.661034,0,80.500862,0,0,80.912941,0,80.592316,0,80.890915,0,0,80.61869,0,80.509636,0,81.413132,0,0,82.588348,0,81.308914,0,80.415688,0,0,79.733574,0,81.925781,0,83.751328,0,0,80.521858,0,72.926941,0,72.757309,0,0,72.924141,0,72.249313,0,71.651253,0,0,72.46627,0,9.2321787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
